,0
85,0.9918062712603984
86,0.9918062712603984
87,0.9918062712603984
88,0.9918062712603984
89,0.9918062712603984
90,0.9918062712603984
91,0.9918062712603984
92,0.9918062712603984
93,0.9918062712603984
94,0.9918062712603984
95,0.9918062712603984
96,0.9918062712603984
97,0.9918062712603984
98,0.9918062712603984
99,0.9918062712603984
100,0.9918062712603984
101,0.9918062712603984
102,0.9918062712603984
103,0.9918062712603984
104,0.9918062712603984
105,0.9918062712603984
106,0.9918062712603984
107,0.9918062712603984
108,0.9918062712603984
109,0.9918062712603984
110,0.9918062712603984
111,0.9918062712603984
112,0.9918062712603984
